plant_id,accession,accession_slug,treatment,replicate,dag_drought_onset,drought_category,fw_g,dw_g,image_side_dir,image_top_dir,available_timepoints,num_images_side,num_images_top,is_dead
24_FabaDr_252,HAVO ME0801,HAVO ME0801,WHC-30,3,33.0,Late,79.13,8.62,data/img/side_view/Acc-42 - HAVO ME0801/WHC-30%/Rep-3 - 24_FabaDr_252,data/img/top_view/Acc-42 - HAVO ME0801/WHC-30%/Rep-3 - 24_FabaDr_252,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_253,Sigvard,Sigvard,WHC-80,1,,,162.06,18.529999999999998,data/img/side_view/Acc-43 - Sigvard/WHC-80%/Rep-1 - 24_FabaDr_253,data/img/top_view/Acc-43 - Sigvard/WHC-80%/Rep-1 - 24_FabaDr_253,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_254,Sigvard,Sigvard,WHC-80,2,,,153.98,16.31,data/img/side_view/Acc-43 - Sigvard/WHC-80%/Rep-2 - 24_FabaDr_254,data/img/top_view/Acc-43 - Sigvard/WHC-80%/Rep-2 - 24_FabaDr_254,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 23]",33,11,False
24_FabaDr_255,Sigvard,Sigvard,WHC-80,3,,,158.15,17.14,data/img/side_view/Acc-43 - Sigvard/WHC-80%/Rep-3 - 24_FabaDr_255,data/img/top_view/Acc-43 - Sigvard/WHC-80%/Rep-3 - 24_FabaDr_255,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_256,Sigvard,Sigvard,WHC-30,1,34.0,Late,210.87,9.020000000000001,data/img/side_view/Acc-43 - Sigvard/WHC-30%/Rep-1 - 24_FabaDr_256,data/img/top_view/Acc-43 - Sigvard/WHC-30%/Rep-1 - 24_FabaDr_256,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_257,Sigvard,Sigvard,WHC-30,2,34.0,Late,71.16,7.5699999999999985,data/img/side_view/Acc-43 - Sigvard/WHC-30%/Rep-2 - 24_FabaDr_257,data/img/top_view/Acc-43 - Sigvard/WHC-30%/Rep-2 - 24_FabaDr_257,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 22]",33,11,False
24_FabaDr_258,Sigvard,Sigvard,WHC-30,3,34.0,Late,78.98,7.750000000000002,data/img/side_view/Acc-43 - Sigvard/WHC-30%/Rep-3 - 24_FabaDr_258,data/img/top_view/Acc-43 - Sigvard/WHC-30%/Rep-3 - 24_FabaDr_258,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_259,Osel,Osel,WHC-80,1,,,78.52,18.0,data/img/side_view/Acc-44 - Osel/WHC-80%/Rep-1 - 24_FabaDr_259,data/img/top_view/Acc-44 - Osel/WHC-80%/Rep-1 - 24_FabaDr_259,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_260,Osel,Osel,WHC-80,2,,,142.65,13.91,data/img/side_view/Acc-44 - Osel/WHC-80%/Rep-2 - 24_FabaDr_260,data/img/top_view/Acc-44 - Osel/WHC-80%/Rep-2 - 24_FabaDr_260,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 22]",33,11,False
24_FabaDr_261,Osel,Osel,WHC-80,3,,,211.23,21.1,data/img/side_view/Acc-44 - Osel/WHC-80%/Rep-3 - 24_FabaDr_261,data/img/top_view/Acc-44 - Osel/WHC-80%/Rep-3 - 24_FabaDr_261,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_262,Osel,Osel,WHC-30,1,28.0,Mid,74.67999999999999,7.460000000000001,data/img/side_view/Acc-44 - Osel/WHC-30%/Rep-1 - 24_FabaDr_262,data/img/top_view/Acc-44 - Osel/WHC-30%/Rep-1 - 24_FabaDr_262,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_263,Osel,Osel,WHC-30,2,28.0,Mid,105.28,10.120000000000001,data/img/side_view/Acc-44 - Osel/WHC-30%/Rep-2 - 24_FabaDr_263,data/img/top_view/Acc-44 - Osel/WHC-30%/Rep-2 - 24_FabaDr_263,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 22]",33,11,False
24_FabaDr_264,Osel,Osel,WHC-30,3,28.0,Mid,85.89,7.100000000000001,data/img/side_view/Acc-44 - Osel/WHC-30%/Rep-3 - 24_FabaDr_264,data/img/top_view/Acc-44 - Osel/WHC-30%/Rep-3 - 24_FabaDr_264,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",32,11,False
